                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.98545,                 0.9032,                 1.2222,                0.59864,                0.80571,                0.72905,                0.46338,                 1.0825,                0.89912,                 1.3491,              0.0004085,              0.0004085,              0.0004085
                     36,                0.90186,                0.81701,                 1.1553,                 0.5806,                0.81149,                0.72216,                0.46082,                 1.1089,                0.87977,                 1.3638,             0.00038375,             0.00038375,             0.00038375
                     37,                0.94185,                0.83637,                 1.1723,                0.69361,                0.71117,                0.78746,                0.48221,                 1.1162,                0.93702,                 1.3543,               0.000359,               0.000359,               0.000359
                     38,                0.89197,                0.81743,                 1.1846,                0.73135,                0.67802,                0.81539,                0.48361,                 1.1404,                0.85921,                 1.4092,             0.00033425,             0.00033425,             0.00033425
                     39,                0.90679,                0.83715,                 1.1992,                0.71973,                0.74375,                 0.8009,                 0.4807,                 1.0856,                0.84889,                 1.3402,              0.0003095,              0.0003095,              0.0003095
                     40,                0.88216,                0.80117,                 1.1454,                0.75883,                0.76804,                0.84316,                0.51491,                 1.0285,                0.80922,                 1.2719,             0.00028475,             0.00028475,             0.00028475
                     41,                0.86006,                0.79153,                 1.1599,                0.66306,                0.72295,                0.76038,                0.47915,                 1.0742,                0.84732,                 1.3362,                0.00026,                0.00026,                0.00026
                     42,                 0.8597,                0.71494,                 1.1938,                0.74258,                0.74866,                0.77766,                0.52744,                0.98476,                0.82953,                 1.2524,             0.00023525,             0.00023525,             0.00023525
                     43,                 0.8215,                0.71259,                 1.1733,                0.61679,                0.78186,                0.78864,                0.51722,                 1.0151,                0.80316,                 1.2784,              0.0002105,              0.0002105,              0.0002105
                     44,                0.82925,                 0.6657,                  1.174,                0.73184,                 0.8015,                0.81822,                0.52317,                 1.0107,                0.80505,                 1.2771,             0.00018575,             0.00018575,             0.00018575
                     45,                0.80169,                0.67459,                 1.1409,                0.72501,                0.78522,                0.80349,                0.52801,                 1.0086,                0.78097,                 1.2683,               0.000161,               0.000161,               0.000161
                     46,                0.79505,                0.66207,                 1.1416,                0.71989,                0.75024,                0.81852,                0.52404,                 1.0568,                0.80438,                 1.3231,             0.00013625,             0.00013625,             0.00013625
                     47,                0.78646,                0.64643,                 1.1243,                0.73391,                0.76318,                0.82968,                0.52443,                 1.0266,                0.78851,                 1.2907,              0.0001115,              0.0001115,              0.0001115
                     48,                0.76828,                0.61477,                  1.124,                0.73613,                0.76245,                0.83515,                0.53868,                0.97655,                0.79255,                 1.2397,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.75425,                0.62389,                 1.1179,                0.73639,                0.73139,                0.84025,                 0.5411,                0.98661,                0.75723,                 1.2484,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                 0.7987,                0.63075,                 1.1329,                0.87097,                0.69773,                0.84441,                0.54589,                0.97997,                0.74855,                 1.2533,              3.725e-05,              3.725e-05,              3.725e-05
