                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.298,                 4.3942,                 1.4646,                 0.7288,                0.33603,                0.36536,                0.17539,                 1.4676,                 9.4776,                 1.7798,             0.00041045,             0.00041045,             0.00041045
                      2,                 1.4072,                 3.5347,                 1.5264,                0.37976,                0.42529,                0.40916,                0.20453,                 1.8413,                 11.953,                 2.2776,             0.00081893,             0.00081893,             0.00081893
                      3,                 1.4761,                 3.3007,                 1.5706,                0.64682,                0.27326,                0.32842,                0.16496,                 2.0324,                 8.0625,                   2.15,              0.0012192,              0.0012192,              0.0012192
                      4,                 1.4231,                 2.8888,                 1.5489,                 0.6134,                0.45403,                0.35624,                0.18287,                 1.9511,                 20.829,                 2.7726,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.3905,                 2.5123,                 1.5242,                0.35957,                0.43828,                0.39455,                0.20122,                 1.9734,                 5.5163,                  2.595,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.4024,                 2.1048,                 1.4846,                0.72496,                0.38334,                0.45361,                 0.2449,                 1.7113,                 2.9222,                  1.912,              0.0011881,              0.0011881,              0.0011881
                      7,                  1.349,                 1.7596,                 1.4434,                0.67173,                0.43965,                0.46581,                0.26011,                   1.62,                 2.7368,                 1.8586,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.3451,                 1.7802,                 1.4551,                 0.8223,                0.44823,                0.52866,                0.28998,                 1.6538,                  2.404,                 1.8295,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.3475,                 1.7551,                 1.4744,                0.65568,                0.47958,                0.46984,                0.26481,                 1.5056,                 2.7286,                 1.7029,               0.001151,               0.001151,               0.001151
                     10,                 1.3118,                 1.6103,                 1.4302,                0.79913,                0.45568,                0.52894,                0.28797,                 1.5033,                 2.3605,                 1.6583,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.3383,                 1.6619,                 1.4209,                0.77081,                0.48315,                0.52473,                0.29649,                 1.6657,                 2.3896,                 1.9128,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.2443,                 1.4793,                    1.4,                0.73483,                0.41178,                0.48793,                0.27756,                 1.5499,                 2.2124,                 1.8209,              0.0011139,              0.0011139,              0.0011139
